iter	Accuracy	Logloss
182	0.898989899	0.3018802131
183	0.9001122334	0.301227422
184	0.9001122334	0.3011599144
185	0.9012345679	0.3008978787
186	0.9012345679	0.300638792
187	0.9012345679	0.3005960282
188	0.9012345679	0.3002412716
189	0.9012345679	0.2999314711
190	0.9001122334	0.2987864859
191	0.9012345679	0.2980956267
192	0.9012345679	0.2973673116
193	0.9012345679	0.2970525403
194	0.9001122334	0.2965459208
195	0.9001122334	0.2962867483
196	0.9001122334	0.2955422442
197	0.9023569024	0.295220188
198	0.9023569024	0.2951849876
199	0.9012345679	0.2950617245
200	0.9012345679	0.2945441954
201	0.9012345679	0.2941103806
202	0.9034792368	0.2927386483
203	0.9034792368	0.2920874385
204	0.9034792368	0.2916770188
205	0.9034792368	0.2914583108
206	0.9046015713	0.2911244379
207	0.9046015713	0.2909994303
208	0.9046015713	0.2907764519
209	0.9057239057	0.2897794803
210	0.9046015713	0.2895828818
211	0.9046015713	0.2895028618
212	0.9046015713	0.2894701254
213	0.9057239057	0.2890428165
214	0.9046015713	0.2881176976
215	0.9046015713	0.2877469509
216	0.9046015713	0.2873397544
217	0.9046015713	0.2868153301
218	0.9046015713	0.2867987101
219	0.9046015713	0.2858161666
220	0.9046015713	0.285329578
221	0.9046015713	0.2845043512
222	0.9046015713	0.2836156145
223	0.9046015713	0.2834443287
224	0.9068462402	0.2826264687
225	0.9068462402	0.2819972935
226	0.9068462402	0.2811032551
227	0.9090909091	0.2802272818
228	0.9068462402	0.2797521041
229	0.9068462402	0.2795380855
230	0.9079685746	0.2792704417
231	0.9057239057	0.2789620038
232	0.9068462402	0.2784530549
233	0.9057239057	0.2769361429
234	0.9057239057	0.2759585992
235	0.9057239057	0.2752634766
236	0.9046015713	0.2747756222
237	0.9046015713	0.2745916967
238	0.9057239057	0.2736998795
239	0.9057239057	0.2736804465
240	0.9057239057	0.2735676707
241	0.9079685746	0.2726472509
242	0.9068462402	0.272370344
243	0.9079685746	0.2721944427
244	0.9079685746	0.2720606134
245	0.9079685746	0.2716988582
246	0.9068462402	0.2714795401
247	0.9068462402	0.27145671
248	0.9079685746	0.270665891
249	0.9079685746	0.2705870752
250	0.9079685746	0.2704291927
251	0.9090909091	0.2698471901
252	0.9079685746	0.2692958028
253	0.9079685746	0.2689075913
254	0.9079685746	0.2688665492
255	0.9079685746	0.2687302151
256	0.9090909091	0.267318475
257	0.9102132435	0.2666097497
258	0.9102132435	0.2665100631
259	0.9102132435	0.266251806
260	0.9102132435	0.2659839696
261	0.9102132435	0.2658651269
262	0.9102132435	0.265694065
