iter	RMSE
0	0.3864115528
1	0.3737761101
2	0.3624325201
3	0.3504417292
4	0.3397449887
5	0.3296771272
6	0.319698712
7	0.3102636534
8	0.3016055772
9	0.2932085186
10	0.2852849799
11	0.2775922274
12	0.2711980616
13	0.2641334379
14	0.2573259021
15	0.251161452
16	0.2449733658
17	0.240002872
18	0.2345396069
19	0.2295840579
20	0.2245364117
21	0.2201550521
22	0.2158402562
23	0.211971396
24	0.2083892914
25	0.2041874385
26	0.200609394
27	0.1972448643
28	0.1942526209
29	0.1907925557
30	0.1876216473
31	0.1846631552
32	0.1819044924
33	0.1794271333
34	0.1768995195
35	0.1745134244
36	0.1725210676
37	0.1703797871
38	0.1683630546
39	0.1664651475
40	0.1645739472
41	0.1628783794
42	0.1609287818
43	0.1594453604
44	0.1578708244
45	0.1561962109
46	0.154395138
47	0.1528323532
48	0.1514288719
49	0.1502451789
50	0.1489716423
51	0.1478213968
52	0.1466733264
53	0.1456604448
54	0.1445720594
55	0.143615518
56	0.1426235508
57	0.1414835317
58	0.1403877799
59	0.139374267
60	0.1384234194
61	0.1377658964
62	0.136689419
63	0.1355978431
64	0.1347120678
65	0.1340021913
66	0.133209396
67	0.1324035538
68	0.1319135651
69	0.1312132271
70	0.1306664058
71	0.1299114456
72	0.1292184832
73	0.1286345421
74	0.1279328988
75	0.1272366981
76	0.1266931876
77	0.1260469786
78	0.1256700574
79	0.125130697
80	0.1246002168
81	0.124203287
82	0.123613679
83	0.1230931045
84	0.1226507832
85	0.1220321431
86	0.1214681649
87	0.121057208
88	0.1205300951
89	0.119865114
90	0.1192675547
91	0.1187124814
92	0.1182060038
93	0.1177799827
94	0.1174253822
95	0.1171096405
96	0.116743782
97	0.1164388211
98	0.1160519351
99	0.115897617
100	0.1155127114
101	0.1150726914
102	0.1148380263
103	0.1145719775
104	0.1145461607
105	0.1142342796
106	0.1139838389
107	0.1138501733
108	0.1135687512
109	0.113432482
110	0.113050293
111	0.1125833491
112	0.1123570125
113	0.1119218903
114	0.111586989
115	0.1112316004
116	0.1108934476
117	0.1106901368
118	0.1106659646
119	0.1104069932
120	0.1101463178
121	0.1097465018
122	0.1095499315
123	0.1092593374
124	0.1088978026
125	0.1085549876
126	0.1082615702
127	0.1079357453
128	0.1078535565
129	0.1077562359
130	0.1076359207
131	0.1076064483
132	0.1073698125
133	0.1071776378
134	0.1070569118
135	0.1067633759
136	0.1064446842
137	0.1063500888
138	0.1061750188
139	0.1060223027
140	0.1057901815
141	0.1054996185
142	0.1052150261
143	0.1050867772
144	0.1049788953
145	0.1049256282
146	0.1048633323
147	0.1046601788
148	0.1045755016
149	0.1045309153
150	0.1042813489
151	0.1040646034
152	0.1038664405
153	0.1035554852
154	0.1033337276
155	0.1032551354
156	0.1030974807
157	0.1030394781
158	0.1029663052
159	0.102824954
160	0.1026335349
161	0.1023385834
162	0.1022044954
163	0.1020386164
164	0.1019214719
165	0.1016637313
166	0.1014325587
167	0.1012618915
